,name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd
142,D6d0S1-F0d12-Vc45d0-MJ004-K02,1,0.12,45.0,J004,02,46.82586594034839,18.5515320580403,28.4053303468058,5.00493694417887,4.093875567174
143,D6d0S1-F0d12-Vc45d0-MJ005-K03,1,0.12,45.0,J005,03,44.6273439952613,16.3530101129532,28.3102553612091,5.0386296324280995,4.040899562799741
144,D6d0S1-F0d12-Vc45d0-MJ006-K03,1,0.12,45.0,J006,03,40.8215832027967,12.5472493204886,25.523007312190103,4.771809997917741,3.81154052580995
145,D6d0S1-F0d12-Vc45d0-MJ007-K04,1,0.12,45.0,J007,04,45.2397023385503,16.9653684562422,29.132135941873198,5.04852602630731,4.11544098102457
146,D6d0S1-F0d12-Vc45d0-MJ008-K04,1,0.12,45.0,J008,04,45.55579145546329,17.281457573155198,28.8980766338843,5.027575351484249,4.0632194884310495
147,D6d0S1-F0d12-Vc45d0-MJ009-K05,1,0.12,45.0,J009,05,42.6381334747733,14.3637995924651,26.0961893713275,4.988938088836919,3.9182005203161605
148,D6d0S1-F0d12-Vc45d0-MJ010-K05,1,0.12,45.0,J010,05,44.5207799806039,16.246446098295802,25.823682290093497,4.84900539934536,4.03691507935363
149,D6d0S1-F0d12-Vc60d0-MJ001-K01,1,0.12,60.0,J001,01,45.0866565072132,16.8123226249051,26.37738767034,4.73552698808343,4.02305971998169
150,D6d0S1-F0d12-Vc60d0-MJ002-K01,1,0.12,60.0,J002,01,45.8465976006679,17.5722637183597,27.324936635960803,5.3891561194169295,4.06519659336468
151,D6d0S1-F0d12-Vc60d0-MJ003-K02,1,0.12,60.0,J003,02,46.0137246772052,17.739390794897,27.601283389039,4.97881558097592,4.02692778714392
152,D6d0S1-F0d12-Vc60d0-MJ004-K02,1,0.12,60.0,J004,02,47.1136667586971,18.839332876389,31.1928269252645,5.45882364220523,4.1318605350329
153,D6d0S1-F0d12-Vc60d0-MJ005-K03,1,0.12,60.0,J005,03,41.938843440926,13.6645095586179,28.5047967147688,4.843757704308089,3.9019350589459996
154,D6d0S1-F0d12-Vc60d0-MJ006-K03,1,0.12,60.0,J006,03,41.4813224977971,13.206988615489,27.728232516160997,4.92054998531949,3.8511825205422596
155,D6d0S1-F0d12-Vc60d0-MJ007-K04,1,0.12,60.0,J007,04,48.5167048921405,20.2423710098323,28.407664936128302,5.11857734529178,4.06700531381885
156,D6d0S1-F0d12-Vc60d0-MJ008-K04,1,0.12,60.0,J008,04,44.46130456783279,16.1869706855246,27.619989368569797,4.82809985029161,3.97678180571774
157,D6d0S1-F0d12-Vc60d0-MJ009-K05,1,0.12,60.0,J009,05,46.455518215267,18.1811843329588,27.339730464137002,5.11117902000674,4.1262267243887205
158,D6d0S1-F0d12-Vc60d0-MJ010-K05,1,0.12,60.0,J010,05,45.1341746257371,16.8598407434289,29.0446123346806,5.1328338056502005,4.15710136645461
159,D6d0S2-F0d03-Vc15d0-MJ001-K16,2,0.03,15.0,J001,16,39.9175937314557,11.643259849147599,38.6000120278214,4.6612537265975895,3.7699369483617002
